timestamp,power,apparentPower,reactivePower,factor,voltage,current,todaykWh,yesterdaykWh
1714016867000,12,23,19,0.52,123,0.183,0.237,0.273
1714016896000,11,22,20,0.5,122,0.183,0.237,0.273
1714016926000,11,23,20,0.48,122,0.187,0.237,0.273
1714016956000,11,22,20,0.48,122,0.184,0.237,0.273
1714016986000,11,22,19,0.5,122,0.183,0.237,0.273
1714017016000,11,23,20,0.49,122,0.187,0.237,0.273
1714017046000,12,23,19,0.51,122,0.185,0.238,0.273
1714017076000,11,22,19,0.51,122,0.181,0.238,0.273
1714017106000,12,23,20,0.51,122,0.187,0.238,0.273
1714017137000,12,23,19,0.53,122,0.185,0.238,0.273
1714017167000,11,23,20,0.49,122,0.187,0.238,0.273
1714017197000,11,22,19,0.5,122,0.183,0.238,0.273
1714017227000,11,23,20,0.49,122,0.185,0.238,0.273
1714017257000,11,22,19,0.5,122,0.183,0.238,0.273
1714017286000,11,22,19,0.51,123,0.183,0.238,0.273
1714017316000,11,22,20,0.49,122,0.184,0.238,0.273
